ID,Produto,Categoria,Preço,Quantidade,Data_Venda,Vendedor
1,Produto C,Categoria 3,'27.82',19,2023-01-01,Vendedor 1
2,Produto A,Categoria 1,49.42,14,2023-01-02,Vendedor 3
3,Produto C,Categoria 3,46.79,13,2023-01-03,Vendedor 2
4,Produto C,Categoria 1,48.6,15,2023-01-04,Vendedor 3
5,Produto A,Categoria 3,62.7,16,2023-01-05,Vendedor 1
6,Produto A,Categoria 3,56.91,2,2023-01-06,Vendedor 2
7,Produto C,Categoria 1,23.48,4,2023-01-07,Vendedor 3
8,Produto B,Categoria 3,15.9,18,2023-01-08,Vendedor 1
9,Produto C,Categoria 2,75.65,17,2023-01-09,Vendedor 1
10,Produto C,Categoria 1,60.37,10,2023-01-10,Vendedor 3
11,Produto C,Categoria 2,42.31,9,2023-01-11,Vendedor 3
12,Produto C,Categoria 1,82.75,15,2023-01-12,Vendedor 2
13,Produto A,Categoria 3,44.93,12,2023-01-13,Vendedor 3
14,Produto C,Categoria 3,81.64,9,2023-01-14,Vendedor 2
15,Produto B,Categoria 3,37.52,14,2023-01-15,Vendedor 3
16,Produto A,Categoria 1,16.56,13,2023-01-16,Vendedor 1
17,Produto B,Categoria 2,93.94,6,2023-01-17,
18,Produto B,Categoria 2,45.51,19,2023-01-18,Vendedor 1
19,Produto B,Categoria 1,81.34,4,2023-01-19,Vendedor 1
20,Produto B,Categoria 1,35.12,17,2023-01-20,Vendedor 2
21,Produto A,Categoria 2,68.17,19,2023-01-21,Vendedor 1
22,Produto A,Categoria 2,88.6,3,2023-01-22,Vendedor 2
23,Produto B,Categoria 2,13.75,14,2023-01-23,Vendedor 2
24,Produto B,Categoria 2,84.76,17,2023-01-24,
25,Produto A,Categoria 1,61.42,13,2023-01-25,Vendedor 3
26,Produto A,Categoria 1,64.67,9,2023-01-26,Vendedor 2
27,Produto A,Categoria 3,57.08,1,2023-01-27,Vendedor 3
28,Produto C,Categoria 2,88.7,17,2023-01-28,Vendedor 2
29,Produto C,Categoria 3,13.91,16,2023-01-29,
30,Produto C,Categoria 1,33.49,18,2023-01-30,Vendedor 3
31,Produto B,Categoria 1,88.82,2,2023-01-31,Vendedor 1
32,Produto C,Categoria 3,77.71,14,2023-02-01,Vendedor 2
33,Produto B,Categoria 2,11.59,17,2023-02-02,Vendedor 3
34,Produto B,Categoria 2,56.53,3,2023-02-03,Vendedor 1
35,Produto C,Categoria 2,57.66,2,2023-02-04,Vendedor 2
36,Produto B,Categoria 2,46.08,8,2023-02-05,Vendedor 1
37,Produto C,Categoria 3,36.77,2,2023-02-06,Vendedor 3
38,Produto C,Categoria 3,71.36,2,2023-02-07,Vendedor 1
39,Produto A,Categoria 1,28.7,9,2023-02-08,Vendedor 1
40,Produto C,Categoria 2,81.91,6,2023-02-09,Vendedor 2
41,Produto A,Categoria 2,82.27,12,2023-02-10,Vendedor 3
42,Produto C,Categoria 2,47.37,9,2023-02-11,Vendedor 2
43,Produto C,Categoria 3,35.52,7,2023-02-12,Vendedor 2
44,Produto A,Categoria 2,35.55,12,2023-02-13,Vendedor 1
45,Produto A,Categoria 3,53.41,5,2023-02-14,Vendedor 3
46,Produto C,Categoria 2,74.76,16,2023-02-15,Vendedor 2
47,Produto B,Categoria 2,42.3,5,2023-02-16,Vendedor 3
48,Produto A,Categoria 1,'64.9',12,2023-02-17,Vendedor 2
49,Produto B,Categoria 2,44.42,9,2023-02-18,Vendedor 1
50,Produto B,Categoria 2,37.41,7,2023-02-19,Vendedor 2
51,Produto B,Categoria 1,12.24,19,2023-02-20,Vendedor 2
52,Produto A,Categoria 3,10.35,11,2023-02-21,Vendedor 2
53,Produto B,Categoria 3,30.45,12,2023-02-22,
54,Produto A,Categoria 2,46.58,3,2023-02-23,Vendedor 1
55,Produto B,Categoria 3,86.61,17,2023-02-24,Vendedor 3
56,Produto C,Categoria 2,81.86,7,2023-02-25,
57,Produto C,Categoria 1,34.04,10,2023-02-26,Vendedor 1
58,Produto A,Categoria 1,32.01,15,2023-02-27,Vendedor 3
59,Produto C,Categoria 2,30.46,2,2023-02-28,Vendedor 2
60,Produto C,Categoria 1,40.53,13,2023-03-01,Vendedor 1
